query_id,query,query_type
165,"(8 pck, one without packaging ) umbra single",multi_constraint
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive
500,02cool spray water bottle for drinking not flap to drink,long_descriptive
541,06 honda odyssey a/c compressor,multi_constraint
598,0rganic potting without fertelizer for roses,multi_constraint
600,0sxk ofrece fidget toys not expensive,multi_constraint
602,0ver charge on items.with prime not happy,long_descriptive
622,1 1/2 sink drain without overflow,multi_constraint
637,1 1/4” npt,attribute_constraint
861,1 pint mason jars without words,multi_constraint
933,1'' oil hose,attribute_constraint
978,1.25 sunglasses for women,multi_constraint
1210,10 hottest models without cloth,multi_constraint
1293,10 qt stainless steel pot without aluminum,multi_constraint
1310,10 succulent plants without plastic containers,multi_constraint
1458,100% cranberry juice not from concentrate,multi_constraint
1476,100% remy hair bundles without weft for box braids,long_descriptive
1530,104 bcd crank arms without chainring,multi_constraint
1659,10×6 patio gazebo without cover,multi_constraint
1816,12 hp engine,attribute_constraint
2286,16x48 frame,attribute_constraint
2390,18x13 setting ring,attribute_constraint
2692,2 ton jack handle replacement,multi_constraint
2855,20lb maxima chameleon,attribute_constraint
3012,24 rims 6 lug,attribute_constraint
3492,3.5 ft christmas tree with lights,multi_constraint
3494,3.5 mm male to male rca cable,long_descriptive
3986,3w landscape light,attribute_constraint
4299,49ers gym apparel,attribute_constraint
4321,4exls,attribute_constraint
4860,6 gallon water dispenser,attribute_constraint
4956,60 watt speaker amp,attribute_constraint
5079,6x6 square mold,attribute_constraint
5094,7 1/8 baseball helmet,multi_constraint
5419,8x12 rustic picture frame,style
5787,a big idea not the savior,multi_constraint
5921,a world without you,product_type
6138,abu garcia baitcasting combo,product_type
6685,adidas joggers for men,product_type
7034,aeramax 290 small room,attribute_constraint
7126,afx slot car race track sets,multi_constraint
7303,air force ones for men,multi_constraint
7340,air intake gasket kit,product_type
7545,airpods case anti-lost strap,multi_constraint
7581,airpods pro soft tips,product_type
8063,all boots,brand_entity_proxy
8519,amazon basics wireless charger,product_type
8605,amazon rewards points,product_type
8740,amelia bedelia hat,product_type
9096,angel halos,brand_entity_proxy
9695,apple fast charger,product_type
9776,apple plastic container,attribute_constraint
9967,aprilia helmet vaisor,product_type
10312,arm and bra fat workout,multi_constraint
10370,armor of god book,product_type
11509,award winning childrens books ages 9-12,multi_constraint
11621,b'patriot supply',product_type
11875,baby cribs with mattress included,multi_constraint
11925,baby fleece suit,product_type
