query_id,product_id,direction,support,review_zh
371,37310,positive,explicit,原描述已明寫 cow print，屬性亦列 animal print；牛紋不是改寫新增，R5 後從 1562 名升至第 9 名。
242,8380,positive,explicit,標題與描述原有真皮扶手椅資訊；屬性限定坐面 top-grain、側背 leather match，不能擴大解讀為全椅真皮。
335,14774,positive,underspecified,canadian 出現在樹名與植物描述，但產地列 China；單詞查詢語意不明，不能把 Exact 解讀為加拿大製造。
258,22758,positive,explicit,標題原有 bar table、counter height 及四張吧椅；R5 未補入新的桌型或座位資訊。
14,37141,positive,explicit,標題與原描述已寫 LED，屬性列 lightedheadboard:yes；另有多組尺寸，改寫未選定某一款。
100,24960,positive,partial,描述缺漏，但製造商名稱與 tufted:yes 支持軟包拉扣床；文字未明示 diamond，不能認定所有查詢限制已由文字驗證。
420,12799,positive,explicit,原描述及 installationlocation 均明列 backsplash；合法的多種安裝位置不應直接視為資料矛盾。
417,16345,positive,explicit,原描述明說可調整適配 twin/full，屬性也有 twin；此處多尺寸是兼容範圍，不必然是衝突。
250,40122,positive,explicit,標題與描述均寫 multi-colored，屬性有 beige/burgundy；所需顏色訊息原本就存在。
302,3215,positive,partial,memory foam 與 topper 明示，但未直接標 Queen；不可只憑未標單位、且同時有 60/76 的寬度推定床型。
122,17749,positive,explicit,King 同時出現在標題、原描述與 mattresssize；床型並非靠改寫推論補出。
32,8577,positive,explicit,標題與屬性原有 dark gray；原描述五抽、屬性六抽且多顏色並列，未擅自整理成單一確定款式。
106,20342,positive,explicit,雖無商品描述，標題及 accessorytype 已明寫 bed risers；R3 改變呈現而非補入抬高用途。
6,21914,positive,explicit,標題有 clear，描述與 mainmaterialdetails 有 acrylic；另有麂皮軟包資訊，不能宣稱整張椅子都透明。
133,38871,positive,explicit,標題、分類與描述都支持戶外燈，原屬性列 wet location；戶外用途不是改寫新增。
6,19248,positive,explicit,原描述直接寫 acrylic seat，屬性列 maincolor:clear；R3 從 545 名到第 2 名時保留同一材質與顏色來源。
258,8473,positive,explicit,標題為 counter height table，原描述有 kitchen/bar table；屬性列兩人座且不含椅，未改成附椅套餐。
121,22352,positive,explicit,標題、原描述與 upholstered:yes 均支持軟包床；R3 沒有新增軟包材質或結構。
297,32638,positive,partial,座墊明示，但無特定書桌椅適配規格；描述提低背減壓、屬性卻列 lumbarsupport:no，應保留這個歧義。
244,26748,positive,partial,loveseat 與可變成 sleeper 已明示；文字未明確說 pull-out 機構，不能把轉換功能等同拉出式。
352,524,negative,explicit,"Amarillo 完整保留在標題，但描述缺漏；加入一般購物語後從第 4 名降至 12,464，顯示短名稱查詢很脆弱。"
352,525,negative,explicit,"Amarillo 完整保留在標題、商品為枕套組；空描述加通用句後由第 2 名降至 10,589。"
352,27603,negative,explicit,Amarillo 只在商品名中，原描述談大型收納地墊；重排後名稱訊號被大量其他內容稀釋。
153,24831,negative,explicit,"Bohemian 在標題與描述中明示；單詞風格查詢仍由第 7 名降至 4,368。"
153,7842,negative,partial,Bohemian 只出現在商品名，屬性主要描述花紋與防疲勞功能；是否符合廣義波希米亞風仍有判斷空間。
361,30206,negative,explicit,Kisner 完整保留在桌名；它是跨品類的短名稱查詢，加入大量規格後名稱訊號被削弱。
361,10461,negative,explicit,"Kisner 保留在毛巾名稱，其他內容談艾菲爾鐵塔圖案；R3 後由第 20 名降至 3,035。"
361,5421,negative,explicit,"Kisner 完整保留在花盆名稱；R2 只加通用語句，仍由第 2 名降至 2,152。"
111,6599,negative,partial,Trinsic 在標題中，但 Delta 未出現在本次輸入欄位；不能把完整品牌限制視為已由文字驗證。
297,39975,negative,explicit,"原描述直接寫可在 desk 使用的 memory-foam seat cushion；R5 後由第 18 名降至 1,540。"
181,7756,negative,explicit,"E12/candelabra 同時出現在標題與 bulbbase；重排沒有刪除規格，排名仍由第 15 名降至 1,337。"
376,34769,negative,explicit,Island estate coffee table 完整出現在標題；另列製造商名稱 Boca，兩種名稱均原樣保留。
148,11324,negative,explicit,Industrial 出現在標題與原描述，金屬線籃也支持風格；單詞查詢仍大幅退步。
153,24835,negative,explicit,Bohemian 同時出現在標題、描述和 style；下降不是因為刪除這個詞。
149,26445,negative,explicit,Mid-century modern 在標題、描述與 dssecondaryproductstyle 均明示，R5 後仍由第 8 名降至 877。
149,8338,negative,explicit,標題、描述與屬性均明示 mid-century modern；餐桌椅數量、材質與座位資訊未遭刪除。
162,34536,negative,explicit,Turquoise 在標題與 seatcolor 中，但同列多組座椅／框架顏色；不能擅自選定所有部件均為綠松石色。
476,31446,negative,explicit,原描述寫 solid rubberwood，屬性也列 solid wood 與 rubber-tree hardwood；另有多種尺寸與顏色未被合併。
26,22015,negative,partial,來源只明示 faux leather；雖含 leather 詞，不能把 Exact 標註解讀為真正皮革限制已滿足。
449,40411,negative,underspecified,Living room set 在標題中，但查詢 living room designs 很寬泛；此案例不證明該商品是客觀最佳設計。
