dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,aggregation,eligible_queries,highest_relevance_pairs,C0_Recall,mean_over_seven_schedules_Recall,VI,Always,Never,Always_ci_low,Always_ci_high,Never_ci_low,Never_ci_high,VI_ci_low,VI_ci_high,invariance_basis
wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.29539370479850435,0.29539370479850435,0.0,0.29539370479850435,0.7046062952014956,0.2630531489981345,0.3288628475048837,0.6711371524951163,0.7369468510018655,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.10957989791912054,0.10957989791912054,0.0,0.10957989791912054,0.8904201020808795,0.09437259302477148,0.12772414428930323,0.8722758557106968,0.9056274069752285,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,379,25470,0.5571090923892187,0.5571090923892187,0.0,0.5571090923892187,0.4428909076107813,0.5222352800486351,0.591664923394906,0.40833507660509405,0.47776471995136494,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,379,25470,0.34727129956811936,0.34727129956811936,0.0,0.34727129956811936,0.6527287004318807,0.3065611271237032,0.3935384817527407,0.6064615182472592,0.6934388728762968,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.2872268845937019,0.2872268845937019,0.0,0.2872268845937019,0.7127731154062982,0.2522883369368891,0.32484793104628895,0.675152068953711,0.7477116630631109,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.10568571294426968,0.10568571294426968,0.0,0.10568571294426968,0.8943142870557304,0.08905456483520997,0.1266334676690703,0.8733665323309296,0.91094543516479,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,query_macro,308,21299,0.5604906636180105,0.5604906636180105,0.0,0.5604906636180105,0.4395093363819895,0.5217842006047898,0.5995178037333512,0.4004821962666488,0.4782157993952102,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,pair_micro,308,21299,0.34048546880135216,0.34048546880135216,0.0,0.34048546880135216,0.6595145311986479,0.2944209288575042,0.3949164573681819,0.6050835426318182,0.7055790711424959,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,query_macro,379,25470,0.2998283347173023,0.2998283347173023,0.0,0.2998283347173023,0.7001716652826977,0.26676228204177876,0.3341777979346524,0.6658222020653476,0.7332377179582212,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
wands,minilm,native,historical_full,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,pair_micro,379,25470,0.10899096976835493,0.10899096976835493,0.0,0.10899096976835493,0.8910090302316451,0.09413057910855369,0.1270614407534436,0.8729385592465564,0.9058694208914463,0.0,0.0,all incoming schedules map to identical text; one fixed materialized index per rule
