query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.3180385527527053,0.0,0.0,1.0,0.0,0.3927677710391701,0.0,0.0,1.0,0.0,0.5098172555767487,0.0,0.0,1.0,0.0,0.09404063820288623
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.11441580185311953,0.32,0.14285714285714285,0.8571428571428572,1.0,0.25047171365432935,0.48,0.2857142857142857,0.7142857142857143,0.75,0.47969185302204614,0.76,0.5714285714285714,0.4285714285714286,0.5,0.24722254367742186
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.7248504419858443,0.25,0.36363636363636365,0.6363636363636364,1.0,0.7854937764516987,0.5,0.7727272727272727,0.2272727272727273,1.0,0.8774352951326504,0.75,0.9545454545454546,0.045454545454545414,0.6,0.6170261164324393
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.6862475186181043,0.625,0.5714285714285714,0.4285714285714286,1.0,0.9021935945788495,0.9375,1.0,0.0,0.75,0.9021935945788495,0.9375,1.0,0.0,0.3,0.2312968168151168
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.37422309516809965,0.08695652173913043,0.07142857142857142,0.9285714285714286,0.4,0.5226387569956092,0.17391304347826086,0.21428571428571427,0.7857142857142857,0.45,0.7487298988618858,0.43478260869565216,0.5,0.5,0.38,0.0022666314808696985
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,0.8910545756824505,0.28125,0.3076923076923077,0.6923076923076923,0.9,0.831416608749179,0.5625,0.6153846153846154,0.3846153846153846,0.9,0.95381792155807,0.96875,1.0,0.0,0.62,0.5956236066073918
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.6008070497530781,0.0,0.0,1.0,0.0,0.6008070497530781,0.0,0.0,1.0,0.0,0.6008070497530781,0.0,0.0,1.0,0.0,0.3606418307164742
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.851872302041417,0.23684210526315788,0.3076923076923077,0.6923076923076923,1.0,0.658424779666854,0.5,0.4230769230769231,0.5769230769230769,1.0,0.9182863734473962,1.0,1.0,0.0,0.8,-0.02882740225515771
637,1 1/4” npt,attribute_constraint,16,13,0.7133722416474912,0.5625,0.5384615384615384,0.46153846153846156,0.9,0.8501199185471,1.0,1.0,0.0,0.8,0.8501199185471,1.0,1.0,0.0,0.32,-0.09723055853282467
861,1 pint mason jars without words,multi_constraint,40,24,0.3720120583377768,0.16216216216216217,0.125,0.875,0.7,0.48683799388862187,0.24324324324324326,0.20833333333333334,0.7916666666666666,0.55,0.7295136843334264,0.6216216216216216,0.5,0.5,0.52,-0.30565935583824055
933,1'' oil hose,attribute_constraint,16,4,0.22806527943265323,0.5625,0.25,0.75,0.9,0.5221213142093346,0.8125,0.5,0.5,0.65,0.5221213142093346,0.875,0.75,0.25,0.28,-0.19825441441295727
978,1.25 sunglasses for women,multi_constraint,16,12,0.7094788684865343,0.5,0.5,0.5,0.8,0.8380100218981551,0.8125,0.8333333333333334,0.16666666666666663,0.65,0.8380100218981551,1.0,1.0,0.0,0.32,0.06262242910851495
