query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
165,"(8 pck, one without packaging ) umbra single",multi_constraint,40,6,0.2594918304337468,0.0,0.0,1.0,0.0,0.49773071803620206,0.0,0.0,1.0,0.0,0.5558777550834008,0.0,0.0,1.0,0.02,0.21502701801118396
433,0.35x 0.5 stainless steel u not h trowel,long_descriptive,40,7,0.3373519423961271,0.2,0.2857142857142857,0.7142857142857143,0.9,0.4684246846726686,0.32,0.42857142857142855,0.5714285714285714,0.65,0.5937012739004236,0.52,0.5714285714285714,0.4285714285714286,0.36,0.3165900436978404
500,02cool spray water bottle for drinking not flap to drink,long_descriptive,40,22,0.6446353319300818,0.225,0.3181818181818182,0.6818181818181819,0.9,0.740002571400985,0.375,0.5909090909090909,0.40909090909090906,0.75,0.838327324861535,0.575,0.9090909090909091,0.09090909090909094,0.46,0.6343813234110596
541,06 honda odyssey a/c compressor,multi_constraint,16,7,0.871965027326699,0.5625,0.8571428571428571,0.1428571428571429,0.9,0.9439368606002081,0.6875,0.8571428571428571,0.1428571428571429,0.55,0.9439368606002081,0.8125,0.8571428571428571,0.1428571428571429,0.26,0.5003563792327016
598,0rganic potting without fertelizer for roses,multi_constraint,39,14,0.6951789808127644,0.0,0.0,1.0,0.0,0.6811177301100949,0.0,0.0,1.0,0.0,0.8671124554186865,0.0,0.0,1.0,0.0,0.15898800815814604
600,0sxk ofrece fidget toys not expensive,multi_constraint,39,26,1.0,0.1875,0.23076923076923078,0.7692307692307692,0.6,0.8962619574460117,0.21875,0.2692307692307692,0.7307692307692308,0.35,0.97769326922368,0.3125,0.38461538461538464,0.6153846153846154,0.2,0.5463222438586455
602,0ver charge on items.with prime not happy,long_descriptive,10,3,0.9445288530051863,0.0,0.0,1.0,0.0,0.9445288530051863,0.0,0.0,1.0,0.0,0.9445288530051863,0.0,0.0,1.0,0.0,0.6241877839323593
622,1 1/2 sink drain without overflow,multi_constraint,40,26,0.6720632682158606,0.23684210526315788,0.3076923076923077,0.6923076923076923,1.0,0.6780315763059978,0.5,0.5769230769230769,0.42307692307692313,1.0,0.8342160051960466,1.0,1.0,0.0,0.8,0.011955550547681685
637,1 1/4” npt,attribute_constraint,16,13,0.8683807888907308,0.0,0.0,1.0,0.0,0.9756120436745996,0.0,0.0,1.0,0.0,0.9756120436745996,0.0,0.0,1.0,0.0,0.17501500535908437
861,1 pint mason jars without words,multi_constraint,40,24,0.3277626930733561,0.08108108108108109,0.041666666666666664,0.9583333333333334,0.4,0.46205525650322826,0.21621621621621623,0.16666666666666666,0.8333333333333334,0.5,0.7443115536118475,0.7837837837837838,0.7916666666666666,0.20833333333333337,0.64,-0.1743390399966261
933,1'' oil hose,attribute_constraint,16,4,0.668762180104319,0.0,0.0,1.0,0.0,0.7873448730630848,0.0,0.0,1.0,0.0,0.7873448730630848,0.0,0.0,1.0,0.0,0.09125996853929778
978,1.25 sunglasses for women,multi_constraint,16,12,0.6005521600650171,0.0,0.0,1.0,0.0,0.840915217913917,0.0,0.0,1.0,0.0,0.840915217913917,0.0,0.0,1.0,0.0,-0.5009794328681196
1210,10 hottest models without cloth,multi_constraint,35,2,0.18657674798154267,0.0,0.0,1.0,0.0,0.18813724259205233,0.0,0.0,1.0,0.05,0.32110848755510546,0.0,0.0,1.0,0.02,0.19652764902596526
1293,10 qt stainless steel pot without aluminum,multi_constraint,39,10,0.17508213916548618,0.3103448275862069,0.2,0.8,1.0,0.3406239395208701,0.5862068965517241,0.5,0.5,0.95,0.559812629439409,0.7931034482758621,0.7,0.30000000000000004,0.56,0.1399826478546711
1310,10 succulent plants without plastic containers,multi_constraint,40,1,0.10293233770715274,0.08695652173913043,0.0,1.0,0.6,0.16595740487994315,0.17391304347826086,0.0,1.0,0.4,0.4263343798494483,0.2608695652173913,0.0,1.0,0.26,-0.053182968035308587
1458,100% cranberry juice not from concentrate,multi_constraint,39,15,0.43836803690496073,0.21212121212121213,0.3333333333333333,0.6666666666666667,1.0,0.554106798259208,0.48484848484848486,0.6666666666666666,0.33333333333333337,1.0,0.735749763700956,0.7878787878787878,0.8666666666666667,0.1333333333333333,0.62,0.13370015732884755
1476,100% remy hair bundles without weft for box braids,long_descriptive,40,17,0.8223176659650407,0.2571428571428571,0.4117647058823529,0.5882352941176471,0.9,0.6751578214938373,0.4,0.5294117647058824,0.47058823529411764,0.7,0.8956821250303704,0.5142857142857142,0.5882352941176471,0.4117647058823529,0.36,0.3688037744668529
1530,104 bcd crank arms without chainring,multi_constraint,40,17,0.7924006464090361,0.32142857142857145,0.47058823529411764,0.5294117647058824,1.0,0.6421228777825502,0.4642857142857143,0.5882352941176471,0.4117647058823529,1.0,0.8770507396132403,1.0,1.0,0.0,0.8,0.21450808973332308
1659,10×6 patio gazebo without cover,multi_constraint,40,5,0.18264317966483767,0.23809523809523808,0.2,0.8,0.6,0.2791020956443405,0.3333333333333333,0.2,0.8,0.45,0.4944446866025627,0.5238095238095238,0.4,0.6,0.28,0.1489104283724549
1816,12 hp engine,attribute_constraint,16,4,0.36395664116901416,0.2857142857142857,0.0,1.0,0.4,0.4786507965930379,0.2857142857142857,0.0,1.0,0.25,0.4786507965930379,0.35714285714285715,0.25,0.75,0.14,-0.32896934403578193
