dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size,eligible_queries,highest_relevance_pairs,queries_with_any_change,queries_with_exact_zero_net_and_changes,within_query_cancellation_fraction,within_query_cancellation_conditional,cancellation_all_denominator,cancellation_conditional_denominator,queries_positive_net,queries_negative_net,positive_query_net_mass,negative_query_net_mass,across_query_cancellation_mass,within_query_balanced_exchange_mass,bootstrap_seed,bootstrap_draws,ci_type,any_membership_change_fraction_ci_low,any_membership_change_fraction_ci_high,exact_zero_net_with_changes_fraction_ci_low,exact_zero_net_with_changes_fraction_ci_high,cancellation_conditional_ci_low,cancellation_conditional_ci_high,conditional_bootstrap_valid_draws,aggregation,reference_recall,reference_recall_ci_low,reference_recall_ci_high,alternative_recall,alternative_recall_ci_low,alternative_recall_ci_high,gain_fraction,gain_fraction_ci_low,gain_fraction_ci_high,loss_fraction,loss_fraction_ci_low,loss_fraction_ci_high,net_delta,net_delta_ci_low,net_delta_ci_high,membership_change_fraction,membership_change_fraction_ci_low,membership_change_fraction_ci_high,retained_total,newly_included_total,newly_omitted_total,absent_in_both_total,raw_mean_schedule_recall,delta_vs_mean_schedules,delta_vs_mean_schedules_ci_low,delta_vs_mean_schedules_ci_high
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,205,65,0.211038961038961,0.3170731707317073,308,205,63,77,0.0172133365717011,0.0380715087406529,0.0344266731434023,0.0399482752850751,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6103896103896104,0.7175324675324676,0.1655844155844155,0.2564935064935065,0.2547169811320754,0.3807112420248684,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2872268845937019,0.2522883369368891,0.3248479310462889,0.0371874742142387,0.0285628768504452,0.0479731572318441,0.0580456463831904,0.0431592370089971,0.0747573130233832,-0.0208581721689517,-0.0402657587296317,-0.0022138166425972,0.0952331205974292,0.0778786114156283,0.1146805546340038,1693,558,580,18468,0.2946999350933629,-0.007473050499661,-0.0204633129955797,0.0047647877255322
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,193,23,0.0746753246753246,0.1191709844559585,308,193,74,96,0.0144743584843686,0.0328169769588167,0.0289487169687372,0.0414181589197227,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5714285714285714,0.6785714285714286,0.0487012987012987,0.1038961038961039,0.0757575757575757,0.1658291457286432,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5604906636180105,0.52178420060479,0.5995178037333511,0.0351834379442299,0.0297125359450441,0.0408983526053206,0.0535260564186781,0.042747097195866,0.0659115207799617,-0.0183426184744481,-0.0316822786209114,-0.0064336129137512,0.0887094943629081,0.0760880045473262,0.1025207679624925,6245,1007,1228,12819,0.5661289419905646,-0.005638278372554,-0.0151558399147854,0.0031244994237153
wands,minilm,native,primary_existing_evaluation,20,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,199,61,0.198051948051948,0.3065326633165829,308,199,62,76,0.0136510882857664,0.0261760417792556,0.0273021765715329,0.0416362048769417,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5909090909090909,0.7012987012987013,0.1558441558441558,0.2435064935064935,0.2431092455687183,0.3701967592592592,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2955601032691645,0.2596737230374838,0.3333500368360021,0.0344691907242373,0.0275614746324505,0.0428320923098986,0.0469941442177264,0.0362755249532606,0.0596718785878247,-0.0125249534934891,-0.0269214989984189,0.0005992211095816,0.0814633349419638,0.0679228641719428,0.0963569977230444,1662,599,611,18427,0.2946999350933629,0.0008601681758015,-0.0112482718039484,0.0130080647563201
wands,minilm,native,primary_existing_evaluation,100,C0,lexical_descending,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,199,20,0.0649350649350649,0.100502512562814,308,199,80,99,0.0154030859426392,0.0326207224145011,0.0308061718852784,0.047826264751492,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5909090909090909,0.698051948051948,0.0389610389610389,0.0941558441558441,0.0606060606060606,0.1455399061032863,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5616156456205967,0.5220974075596262,0.600765322790336,0.0393162183183852,0.0332766782625266,0.0458506835988738,0.0565338547902471,0.0464798201126711,0.0681709804621492,-0.0172176364718618,-0.0297194147258502,-0.005846446965918,0.0958500731086323,0.0832166432604454,0.1096321724671364,6282,1055,1191,12771,0.5661289419905646,-0.0045132963699678,-0.0136380197010765,0.004262510230244
wands,minilm,native,primary_existing_evaluation,20,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,201,50,0.1623376623376623,0.2487562189054726,308,201,69,82,0.0197194730077897,0.0355950698982058,0.0394389460155795,0.0368579475602093,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5974025974025974,0.7045454545454546,0.1233766233766233,0.2045454545454545,0.189739336492891,0.308457711442786,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2922094598722375,0.2565659581293048,0.329134620788094,0.0381484467878944,0.0297593373168681,0.0486794017626313,0.0540240436783105,0.0394531785081007,0.0709793435301188,-0.015875596890416,-0.0349198650144976,0.0022138878424229,0.0921724904662049,0.0752224343677282,0.1109321139658946,1702,566,571,18460,0.2946999350933629,-0.0024904752211253,-0.0167942185343245,0.0108926381769134
wands,minilm,native,primary_existing_evaluation,100,C0,field_priority_type,pure complete-entry sorting,"new controlled retrieval, frozen pretrained encoder; not regenerated raw ranks",catalog_wide,42994,308,21299,192,25,0.0811688311688311,0.1302083333333333,308,192,77,90,0.019760091227878,0.0267253252334969,0.0395201824557561,0.045373840283915,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.5681818181818182,0.6754058441558429,0.0519480519480519,0.1103896103896103,0.0842105263157894,0.1783783783783784,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5718680480868398,0.5333326226666957,0.6107254762813589,0.0424470113698355,0.0341059093381536,0.0523504917791443,0.0494122453754544,0.0394408798027801,0.0611033618504869,-0.0069652340056188,-0.0212378759675733,0.0067678678000972,0.09185925674529,0.077986696322997,0.1069830280725031,6302,1070,1171,12756,0.5661289419905646,0.0057391060962752,-0.0059171806106553,0.0176824974677854
wands,minilm,native,primary_existing_evaluation,20,C0,historical_M2_template,changes framing and section placement,inherited ranks,catalog_wide,42994,308,21299,237,34,0.1103896103896103,0.1434599156118143,308,237,70,133,0.0262857214251281,0.0725716043362146,0.0525714428502562,0.0837808796199246,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.7207792207792207,0.814935064935065,0.0779220779220779,0.1461038961038961,0.100418410041841,0.1898786483941834,10000,query_macro,0.3080850567626536,0.2710145128159665,0.3467140690584058,0.2617991738515672,0.2279308997493848,0.2979366694739956,0.0681761612350904,0.0568588879707157,0.0806709687497451,0.1144620441461769,0.0947542949736809,0.1361842388799025,-0.0462858829110864,-0.0715334009805043,-0.022452654217608,0.1826382053812673,0.1596201438677701,0.2070217345821309,973,1087,1300,17939,0.2946999350933629,-0.0329007612417957,-0.0563413627867602,-0.0104885144425064
wands,minilm,native,primary_existing_evaluation,100,C0,historical_M2_template,changes framing and section placement,inherited ranks,catalog_wide,42994,308,21299,224,15,0.0487012987012987,0.0669642857142857,308,224,68,141,0.0334436642247698,0.0925333411825342,0.0668873284495396,0.0902799069993353,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.6753246753246753,0.775974025974026,0.0259740259740259,0.0746753246753246,0.0355555555555555,0.1018518518518518,10000,query_macro,0.5788332820924585,0.540442339286388,0.6168707106396457,0.5197436051346941,0.4791770692969754,0.5608190175875687,0.0785836177244374,0.0666013258572354,0.0918906619162496,0.1376732946822018,0.1164233112553905,0.1598313927971754,-0.0590896769577643,-0.085360843810663,-0.0335309565955746,0.2162569124066393,0.192053023160603,0.2411785872225426,4753,2145,2720,11681,0.5661289419905646,-0.0463853368558703,-0.0713815847214088,-0.0222912732790941
wands,bge_base,native,primary_existing_evaluation,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,183,71,0.2305194805194805,0.3879781420765027,308,183,54,58,0.0077225546397808,0.0080442100833023,0.0154451092795617,0.0264868581414756,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.538961038961039,0.6493506493506493,0.185064935064935,0.2792207792207792,0.3166666666666666,0.4585700357491061,10000,query_macro,0.3610458935456568,0.3223411098879199,0.4008052032843102,0.3607242381021353,0.3216289122829533,0.4008332749678611,0.0209659837105186,0.0171236992141323,0.025191941620248,0.0212876391540401,0.0172497442247925,0.0258424190497568,-0.0003216554435215,-0.0053004720631126,0.0044888766414196,0.0422536228645588,0.0357408174788411,0.0493611134427614,2196,393,411,18299,0.3603798398820579,0.0003443982200773,-0.0045590808772785,0.0052847582682204
wands,bge_base,native,primary_existing_evaluation,100,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994,308,21299,159,23,0.0746753246753246,0.1446540880503144,308,159,70,66,0.0197940854525306,0.0191344776316177,0.0382689552632354,0.0243973335069034,2026091701,10000,descriptive uncorrected 95% query-cluster percentile,0.461038961038961,0.5714285714285714,0.0454545454545454,0.1038961038961039,0.0914634146341463,0.2022488147041631,10000,query_macro,0.6317092063148236,0.5936757829178482,0.6699870540200549,0.6323688141357365,0.5940743434535417,0.6703053741069633,0.0319927522059823,0.0219952029094854,0.0448534104976944,0.0313331443850694,0.0218972767489783,0.0429891507746528,0.0006596078209128,-0.0147353665892108,0.016460948252664,0.0633258965910518,0.0487722378330703,0.0798283502501133,7641,640,671,12347,0.6362025687113682,-0.0038337545756315,-0.0139645663190139,0.0055941063202031
