query_id,query,query_type
731,1 fancy box without lids,unclassified
2292,17 gaming laptop,unclassified
5271,8 inch worm gear clamp,unclassified
5318,80 headbands for women,unclassified
5643,Dark blue denim jackets with a fluffy inside and collar similar to aviator jacket,unclassified
5680,I want to buy a laptop that is touchscreen and has a long battery time. I also want it to be sleek and lightweight.,unclassified
5900,a trapezoid is not a dinosaur,unclassified
6436,acrylic warmer for nails,unclassified
7065,aesthetic white shirt,unclassified
8816,american indian jewelry for women,unclassified
8889,amnesiac vinyl,unclassified
9513,ao smith water tank,unclassified
9989,aqua blue vinyl,unclassified
10193,arduino leonardo,unclassified
10478,art of aromas posters,unclassified
11903,baby dress up clothes,unclassified
14611,bedroom wall neon sign love me,unclassified
14692,beer themed gifts for women,unclassified
16254,black and decker 40v blower,unclassified
17335,blue bridal shoes,unclassified
17435,blue pebble tech,unclassified
18503,boot pulls equestrian boots,unclassified
19879,broadway hd,unclassified
21580,calico critters luxury townhome gift set,unclassified
22753,car key chain p,unclassified
23734,cat 5 wall socket,unclassified
24597,chair cushions multi pack,unclassified
24728,champion sweatshirt women,unclassified
25674,chip storage,unclassified
27860,color street nails,unclassified
28500,confument bowls,unclassified
28536,consola xbox series x,unclassified
31523,danny devito,unclassified
31812,dc clothing,unclassified
34730,domhnall gleeson,unclassified
37666,enema bottles,unclassified
37829,eon hammocks,unclassified
38146,espresso machine without frother,unclassified
38802,extra large diaper bag backpack,unclassified
39030,ezma cream for adults,unclassified
40671,fish tank,unclassified
41387,floor mat alarm for elderly,unclassified
43118,full size refrigerator without freezer,unclassified
45675,girls shoes size 12,unclassified
45974,glitter evening dresses,unclassified
46290,godzilla sh monsterarts under $90,unclassified
47187,gray color hair spray,unclassified
48846,hand made apple watch band,unclassified
50672,himitsu patch,unclassified
52362,i back in team shirt,unclassified
52587,ice cream,unclassified
53447,instant oatmeal cups,unclassified
54076,iphone 11 pro max case grip,unclassified
55166,ivory flowers hair accessory for women,unclassified
55400,james bond daniel craig,unclassified
56827,k9 fitbone,unclassified
58785,kms molding paste,unclassified
60599,leading without authority by keith ferrazzi,unclassified
64865,magnet balls 5mm,unclassified
65121,makeup brush maybelline set,unclassified
65835,mario cart switch,unclassified
67603,mens fish bracelet,unclassified
69043,mike malloy,unclassified
69766,miskets snacks,unclassified
70212,mold bathroom cleaner,unclassified
70614,mop sink floor mount,unclassified
71397,mud hens,unclassified
74048,no chip clear nail polish top coat,unclassified
75849,oppo mobail,unclassified
75971,orange textured paint,unclassified
76789,oval diamond ring,unclassified
76846,over the sink dish rack adjustable single,unclassified
79396,phantom quickdraw,unclassified
80774,plaid open cardigan flannel,unclassified
80892,plant mat,unclassified
87842,ritual essential for women,unclassified
88399,roof,unclassified
90546,saphire,unclassified
92065,sexy games,unclassified
92897,shotgun rear pistol grip,unclassified
94147,skinnytabs,unclassified
94170,skirt overalls for women,unclassified
98166,stiletto eau de parfume,unclassified
98467,strathmore sketchbook smooth brist,unclassified
98666,student gifts from teacher bulk,unclassified
99697,sweaters cowl neck men,unclassified
99856,swimsuits for women plus size,unclassified
100648,taos te,unclassified
101703,textured sweatshirt,unclassified
101979,the first 90 days,unclassified
102686,thin a ma jig,unclassified
102995,ti84 plus graphing calculator,unclassified
103155,tile sticker key finder,unclassified
105502,trumpet yamaha,unclassified
107627,v shaped leggings high waisted,unclassified
107907,vape,unclassified
111273,white ruffle tank tops for women,unclassified
112606,women race and class by angela davis,unclassified
112631,women sexy toyes bluetooth,unclassified
115190,youth grey dry fit shirt,unclassified
